"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\greenhouse\config\app.js", "JavaScript", -45, -177, -22, -244
"c:\Users\Gintautas\greenhouse\config\auth.js", "JavaScript", -37, -52, -7, -96
"c:\Users\Gintautas\greenhouse\config\bodyParser.js", "JavaScript", -29, -119, -10, -158
"c:\Users\Gintautas\greenhouse\config\cors.js", "JavaScript", -9, -72, -7, -88
"c:\Users\Gintautas\greenhouse\config\database.js", "JavaScript", -33, -42, -7, -82
"c:\Users\Gintautas\greenhouse\config\hash.js", "JavaScript", -11, -34, -5, -50
"c:\Users\Gintautas\greenhouse\config\roles.js", "JavaScript", -5, 0, -2, -7
"c:\Users\Gintautas\greenhouse\config\session.js", "JavaScript", -23, -70, -9, -102
"c:\Users\Gintautas\greenhouse\config\shield.js", "JavaScript", -27, -110, -8, -145
"c:\Users\Gintautas\greenhouse\database\factory.js", "JavaScript", 10, 17, 6, 33
"c:\Users\Gintautas\greenhouse\database\migrations\1503248427886_user.js", "JavaScript", 17, 1, 5, 23
"c:\Users\Gintautas\greenhouse\database\migrations\1503248427887_token.js", "JavaScript", 23, 1, 5, 29
"c:\Users\Gintautas\greenhouse\database\migrations\1649342288070_roles_schema.js", "JavaScript", 15, 1, 5, 21
"c:\Users\Gintautas\greenhouse\database\migrations\1649342332601_user_role_schema.js", "JavaScript", 21, 1, 5, 27
"c:\Users\Gintautas\greenhouse\database\migrations\1649344663743_humidity_data_schema.js", "JavaScript", 21, 1, 5, 27
"c:\Users\Gintautas\greenhouse\database\migrations\1649344974429_temperature_data_schema.js", "JavaScript", 21, 1, 5, 27
"c:\Users\Gintautas\greenhouse\database\migrations\1649422874088_greenhouse_control_schema.js", "JavaScript", 27, 1, 5, 33
"c:\Users\Gintautas\greenhouse\database\seeds\RoleSeeder.js", "JavaScript", 21, 12, 7, 40
"Total", "-", -43, -640, -29, -712
