"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\greenhouse\database\factory.js", "JavaScript", 10, 17, 6, 33
"c:\Users\Gintautas\greenhouse\database\migrations\1503248427886_user.js", "JavaScript", 17, 1, 5, 23
"c:\Users\Gintautas\greenhouse\database\migrations\1503248427887_token.js", "JavaScript", 23, 1, 5, 29
"c:\Users\Gintautas\greenhouse\database\migrations\1649342288070_roles_schema.js", "JavaScript", 15, 1, 5, 21
"c:\Users\Gintautas\greenhouse\database\migrations\1649342332601_user_role_schema.js", "JavaScript", 21, 1, 5, 27
"c:\Users\Gintautas\greenhouse\database\migrations\1649344663743_humidity_data_schema.js", "JavaScript", 21, 1, 5, 27
"c:\Users\Gintautas\greenhouse\database\migrations\1649344974429_temperature_data_schema.js", "JavaScript", 21, 1, 5, 27
"c:\Users\Gintautas\greenhouse\database\migrations\1649422874088_greenhouse_control_schema.js", "JavaScript", 27, 1, 5, 33
"c:\Users\Gintautas\greenhouse\database\seeds\RoleSeeder.js", "JavaScript", 21, 12, 7, 40
"Total", "-", 176, 36, 48, 260
